AGLC SKU,QUANTITY,SKU DESCRIPTION,Available Cases,Format,Subcategory,THC MIN,THC MAX,THC UOM,CBD MIN,CBD MAX,CBD UOM,EachesPerCase,New SKU This Week, On Sale , Sell Price Per Case , Orginal Price Per Case , Sell Price Per Unit ,MSRP, Recycle Fees Per Case , Deposit Fee Per Case ,Company Name,Brand Name,Product Name,Long Product Description,Merchandising Strategy,Type_(Sub 2 Category),Strain_(Sub 3 Category),Province_of_Origin,Region of Product_(Optional),Extraction Process,Dominant Terpene 1,Dominant Terpene 1 Content (%),Dominant Terpene 2,Dominant Terpene 2 Content (%),Dominant Terpene 3,Dominant Terpene 3 Content (%),Other Terpenes List,Net Content,Content UOM,Piece Qty,Piece Size,DCE (g),Master Case Height_(cm),Master Case Length_(cm),Master Case Width_(cm),Master Case Weight_(kg),External Packaging Material,Each Inner Height_(cm),Each Inner Length_(cm),Each Inner Width_(cm),Each Inner Weight_(grams),GTIN,MasterCaseGTIN
CNB-07205320,0,Watermelon OG 2g Infused Milled Flower,0,Concentrate or Extract,Infused,300,340,mg/g,0,20,mg/g,12,FALSE,FALSE,$193.20,$193.20,$16.10,$22.99, - , - ,Voyage Cannabis,RAD,Watermelon OG Infused Power Flower,Watermelon OG Infused Milled Flower,Good / Value,Sativa,Watermelon OG,Ontario,,,Alpha-Pinene,36.67,Limonene,36.67,Linalool,16.67,,2,g,1,2,8.0,15.24,12.7,12.7,440,Polyethylene,14.43,3.81,9.19,37,842360014965,30842360014966
CNB-07205734,0,RAD Cinnamon Apple 1.0 g Prefilled Vape Cartridge,65,Vape,Prefilled Vape Cartridge,750,900,mg/g,0,10,mg/g,12,FALSE,FALSE,$310.32,$310.32,$25.86,$36.99, - , - ,Voyage Cannabis,RAD,Cinnamon Apple Vape Cartridge,RAD Cinnamon Apple Prefilled Vape Cartridge,Best / Premium,Indica,Granny's Spiced Apple,British Columbia,Falkland,,Various,0.0,,,,,,1,g,1,1,4.0,15.24,12.7,12.7,400,Plastic,12,2,2,66,842360015375,30842360015376
CNB-07205735,0,RAD Pumpkin Spice 1.0 g Prefilled Vape Cartridge,53,Vape,Prefilled Vape Cartridge,750,900,mg/g,0,10,mg/g,12,FALSE,FALSE,$310.32,$310.32,$25.86,$36.99, - , - ,Voyage Cannabis,RAD,Pumpkin Spice Vape Cartridge,RAD Pumpkin Spice 1.0 g Prefilled Vape Cartridge,Good / Value,Sativa,Pumpkin Spice,British Columbia,Falkland,,Various,0.0,,,,,,1,g,1,1,4.0,15.24,12.7,12.7,560,Plastic,12,2,2,66,842360015382,30842360015383
CNB-07205736,0,RAD Fall Sessions Vol. 1 MULTI-PACK 2x0.5 g Prefilled Vape Cartridges,84,Vape,Prefilled Vape Cartridge,750,900,mg/g,0,10,mg/g,12,FALSE,FALSE,$352.32,$352.32,$29.36,$41.99, - , - ,Voyage Cannabis,RAD,Fall Sessions Vol. 1 MULTI-PACK Vape Cartridge,RAD Fall Sessions Vol. 1 MULTI-PACK Prefilled Vape Cartridges,Good / Value,Hybrid,Pumpkin Spice / Apple Pie,British Columbia,Falkland,,Various,0.0,,,,,,1,g,2,0.5,4.0,15.24,12.7,12.7,560,Plastic,12,2,2,70,842360015399,30842360015390
CNB-07302341,0,Amnesia x Super Haze 3.5 g Dried Flower,0,Dried Flower,Dried Flower,200,270,mg/g,0,10,mg/g,12,FALSE,FALSE,$302.64,$302.64,$25.22,$36.49, - , - ,Mera Cannabis,Thumbs Up Brand,Amnesia x Super Haze,"Just some old school hazy goodness. Thumbs Up Brand Amnesia x Super Haze is a high-intensity, high THC Sativa flower. Indoor-grown and hand trimmed, the flower is a cross between popular Haze strain, Super Haze, and Amnesia resulting in a potent strain that is almost pure sativa. Amnesia x Super Haze's terpene profile includes Caryophyllene, Myrcene, and Humulene which gives it a fresh earthy scent with a lemon tang. Available in a 3.5g dried flower, each biodegradable pouch includes a humidity pack for maximum freshness. 10 percent of the profits from all Thumbs Up Brand products are donated back to the community.",Better / Mainstream,Sativa,Amnesia x Super Haze,Ontario,St Thomas,,Caryophyllene,24.3,Myrcene,16.6,Farnesene,16.0,"Humulene,Terpinolene",3.5,g,1,3.5,3.5,11.79,21.77,16.05,200,PET,15.2,10.2,2.54,8.2,00895689001048,10895689001045
CNB-07302950,0,10th Planet 10x0.5g Pre-Rolls,81,Pre-Roll,Pre-Rolls,200,260,mg/g,0,10,mg/g,12,FALSE,FALSE,$251.88,$251.88,$20.99,$29.99, - , - ,Mera Cannabis,Countryside Cannabis,10th Planet Pre-rolls,"Countryside pre-rolls are made from high-THC, whole-flower cannabis (never trim or shake) in convenient half-gram units for both solo and social consumption. Our rolling technique achieves an even, slow burn, with convenience and accessibility in mind.",Ultra Value,Hybrid,10th Planet,Ontario,St. Thomas,,Caryophyllene,5.0,Myrcene,5.0,Humulene,5.0,Limonene,5,g,10,0.5,5.0,20,20,15,160,,7.56,4.9,4.9,31.41,00895689001260,10895689001267
CNB-07304397,0,RSO High THC 1g Full Spectrum Oil,0,Oil or Spray,Oil,600,700,mg/g,0,20,mg/g,12,FALSE,FALSE,$279.48,$279.48,$23.29,$33.49, - , - ,Mera Cannabis,Ellevia,RSO High THC Oil,"Ellevia RSO is a high-THC, decarboxylated, full-spectrum cannabis oil. This product only contains cannabinoids and terpenes derived from cannabis grown on our farm in St. Thomas, Ontario -- no fillers, additives or synthetics. Ellevia RSO comes in an applicator with a removable cap that precisely dispenses each dose. Applicators emit audible and tactile feedback with each dose dispensed.",Good / Value,Hybrid,Blend,Ontario,,,,,,,,,,1,g,1,1,4.0,7.62,18,11.4,76,,0,0,0,0,895689001475,10895689001472
CNB-07304398,0,Balanced 1:1 1g Full Spectrum Oil,0,Oil or Spray,Oil,320,400,mg/g,320,400,mg/g,12,FALSE,FALSE,$279.48,$279.48,$23.29,$33.49, - , - ,Mera Cannabis,Ellevia,Balanced RSO Oil,"Ellevia Balanced RSO is a one-to-one THC to CBD,decarboxylated, full-spectrum cannabis oil. This product only contains cannabinoids and terpenes derived from cannabis grown on our farm in St. Thomas, Ontario -- no fillers, additives or synthetics. Ellevia RSO comes in a 1g applicator with a removable cap that precisely dispenses 25mg per dose. Applicators contain 40 doses and emit audible and tactile feedback with each dose dispensed.",Good / Value,Hybrid,Blend,Ontario,,,,,,,,,,1,g,1,1,4.0,7.62,18,11.4,76,,0,0,0,0,895689001482,10895689001489
CNB-07304406,0,White Widow 1g Shatter,0,Concentrate or Extract,Shatter,700,790,mg/g,0,2,mg/g,12,FALSE,FALSE,$279.72,$279.72,$23.31,$33.49, - , - ,Mera Cannabis,Shatterizer,White Widow,"White Widow is a hybrid strain that's global in nature and famous with deep historic roots. This cross between a Brazilian sativa and South Indian indica, is known for resinous, white, sticky, crystally, fluffy buds and tantalizing trichomes. Sourced from our friends with a dense delicious harvest, our White Widow cannabis was extracted into a glimmering shiny shatter, preserving clusters of trichomes with our proprietary hydrocarbon blend.
",Better / Mainstream,Hybrid,White Widow,Ontario,St. Thomas,,Limonene,100.0,,,,,,1,g,1,1,4.0,7.62,18,11.4,80,,0.5,0,10,5,895689001468,10895689001465
CNB-07304407,0,8 Ball Kush 1g Shatter,62,Concentrate or Extract,Shatter,700,790,mg/g,0,2,mg/g,12,FALSE,FALSE,$279.72,$279.72,$23.31,$33.49, - , - ,Mera Cannabis,Shatterizer,8 Ball Kush,"Our 8 Ball Kush is a solid shatter that looks good from all angles and has very strong THC potency. Originating from King Kush and the Bubba Kush strains, 8 Ball Kush has a high density of trichome that you can bank on. The terpenes in this 8 Ball Kush call the shots and will sink into your mouth. Herbaceous, with a spicy collection of garden aromas, our 8 Ball Kush Shatter has notes of basil, oregano and rosemary arising from caryophyllene. The terpene humulene adds the warmth of coriander! Only fresh cannabis inputs are used with a proprietary blend of hydrocarbons, in all Shatterizer extraction processes. Specially sourced and selected from the finest growers across Canada, we look for flower with the right characteristics, from THC levels to terps and flavonoids.",Better / Mainstream,Indica,8 Ball Kush,Ontario,St. Thomas,,Myrcene,100.0,,,,,,1,g,1,1,4.0,7.62,18,11.4,80,,0.5,0,10,5,895689001567,10895689001564
