AGLC SKU,QUANTITY,SKU DESCRIPTION,Available Cases,Format,Subcategory,THC MIN,THC MAX,THC UOM,CBD MIN,CBD MAX,CBD UOM,EachesPerCase,New SKU This Week, On Sale , Sell Price Per Case , Orginal Price Per Case , Sell Price Per Unit ,MSRP, Recycle Fees Per Case , Deposit Fee Per Case ,Company Name,Brand Name,Product Name,Long Product Description,Merchandising Strategy,Type_(Sub 2 Category),Strain_(Sub 3 Category),Province_of_Origin,Region of Product_(Optional),Extraction Process,Dominant Terpene 1,Dominant Terpene 1 Content (%),Dominant Terpene 2,Dominant Terpene 2 Content (%),Dominant Terpene 3,Dominant Terpene 3 Content (%),Other Terpenes List,Net Content,Content UOM,Piece Qty,Piece Size,DCE (g),Master Case Height_(cm),Master Case Length_(cm),Master Case Width_(cm),Master Case Weight_(kg),External Packaging Material,Each Inner Height_(cm),Each Inner Length_(cm),Each Inner Width_(cm),Each Inner Weight_(grams),GTIN,MasterCaseGTIN
CNB-00705082,0,Bogart's Kitchen Red Habanero Heartbeat Hot Sauce 10ml,254,Edible,Salty Snacks,10,10,mg,1,1,mg,12,FALSE,FALSE,$71.64,$71.64,$5.97,$9.99, - , - ,Emblem Cannabis,Heartbeat Hot Sauce x Bogart's Kitchen,Red Habanero Hout Sauce,Bogart's Kitchen Red Habanero Heartbeat Hot Sauce 10ml,Best / Premium,Blend,Salty Snacks,Ontario,,,,,,,,,,10,ml,1,10,0.72,14,18,16,320,Glass bottle in plastic pouch,15,11,3,12.8,882464005438,20882464005432
CNB-00705083,0,Bogart's Kitchen Jalapeno Heartbeat Hot Sauce 10 ml,274,Edible,Salty Snacks,10,10,mg,1,1,mg,12,FALSE,FALSE,$71.64,$71.64,$5.97,$9.99, - , - ,Emblem Cannabis,Heartbeat Hot Sauce x Bogart's Kitchen,Jalapeno Hot Sauce,Bogart's Kitchen Jalapeno Heartbeat Hot Sauce 10 ml,Best / Premium,Blend,Salty Snacks,Ontario,,,,,,,,,,10,ml,1,10,0.71,14,18,16,320,Glass bottle in plastic pouch,15,11,3,12.8,882464005445,20882464005449
CNB-01005120,0,SHRED'EMS Sour Apple Slap Soft Chews 4x4.5g,167,Edible,Soft Chews,10,10,mg,0,0,mg,24,FALSE,FALSE,$76.32,$76.32,$3.18,$4.99, - , - ,Organigram,SHRED'EMS,Sour Apple Slap Soft Chews,SHRED'EMS Sour Apple Slap Soft Chews 4x4.5g,Good / Value,Sativa,Blend,Manitoba,Winnipeg,,Blend,0.0,,,,,,18,g,4,4.5,1.2,11.1,15.72,10.95,680,Cr Pouch,14.8,1,9.2,25,671148303041,10671148303048
CNB-03105482,0,OS.ONE Durban Poison 3.5g Dried Flower,128,Dried Flower,Dried Flower,180,230,mg/g,0,10,mg/g,12,FALSE,FALSE,$167.88,$167.88,$13.99,$19.99, - , - ,HEXO,Original Stash,OS.ONE Durban Poison,"Durban Poison is a famed Landrace cultivar, said to date back centuries to the modern-day port city of Durban. Brought to and refined by breeders in North America, this sativa-dominant strain has high THC potential and fat buds with frosty trichomes all over.",Ultra Value,Sativa,Durban Poison,Quebec,,,b-Caryophyllene,35.0,Limonene,25.0,Myrcene,20.0,,3.5,g,1,3.5,3.5,14.6,20.8,14,213,Mylar,17.78,4.83,12.7,13,697238300288,40697238300286
CNB-02805634,0,Growers Reserve 7g Dried Flower,12,Dried Flower,Dried Flower,160,220,mg/g,0,10,mg/g,12,FALSE,FALSE,$244.92,$244.92,$20.41,$29.49, - , - ,Delta 9,Delta 9,Growers Reserve,This is a potent Grower's selection of top Delta 9 cultivars. These strains are the go-to choice for our Growers when they want good quality cannabis and great value.,Good / Value,Hybrid,Rotating Single Strain,Manitoba,Winnipeg,,Various,0.0,,,,,,7,g,1,7,7.0,22.86,25,19,220,Plastic,6,11,6,139.57,00689285001775,30689285001776
CNB-02805633,0,Growers Private Stash 7g Dried Flower,64,Dried Flower,Dried Flower,220,280,mg/g,0,10,mg/g,12,FALSE,FALSE,$311.64,$311.64,$25.97,$36.99, - , - ,Delta 9,Delta 9,Growers Private Stash,"Growers Private Stash or G.P.S. refers to Delta 9 cultivars that are high-range THC. They are some of the favourite buds from our teams of Growers ad certain to make their own personal consumption lists. Like all Delta 9 Cannabis products, G.P.S. represents the quality you expect and the value you deserve.",Good / Value,Hybrid,Rotating Single Strain,Manitoba,Winnipeg,,Various,0.0,,,,,,7,g,1,7,7.0,22.86,15.5,19,220,Plastic,6,11,6,139.57,00689285001782,30689285001783
CNB-02805640,0,Kmintz 2 x 0.5g Pre-Rolls,30,Pre-Roll,Pre-Rolls,230,290,mg/g,0,10,mg/g,24,FALSE,FALSE,$152.64,$152.64,$6.36,$9.49, - , - ,Delta 9,Cypress Craft,Kmintz Pre-Roll,"Kmintz (Zkittlez x Kush Mints) is grown by Cypress Craft, a fouth-generation farming family based out of rural Manitoba that puts the craft in craft cannabis. Hang dried for 10 to 14 days and patiently cured for up to four weeks, the resulting product is unparalleled in flavour and smoothness. These medium to large buds are absolutely coated with trichomes, covering its deep purple base that is highlighted with vibrant strikes of lime green. The aroma is multifaceted, heavy with pungent notes of fruit, mint and cheese.",Best / Premium,Indica,Kmintz,Manitoba,Neepawa,,Caryophyllene,30.0,Limonene,16.1,Humulene,8.8,,1,g,2,0.5,1.0,13.5,24,17,30,Plastic,11.5,2,2,8.3,689285002130,30689285002131
CNB-02903732,0,Organic Maple Kush 3.5g Dried Flower,468,Dried Flower,Dried Flower,260,330,mg/g,0,20,mg/g,12,FALSE,FALSE,$288.24,$288.24,$24.02,$34.49, - , - ,The Green Organic Dutchman,The Green Organic Dutchman,Organic Maple Kush,"Organic Maple Kush is a certified organic indica bud grown in living soil using natural sunlight and purified rainwater. A TGOD original cross between Koloa Sunrise and GG4, Organic Maple Kush gets its name from the  Canadian organic maple syrup used to feed the soil it grows in, giving it a natural source of carbohydrates. Its dense round buds with dark purple and green leaves are covered in frosty-white trichomes and bright orange pistils. This beautiful bud brings with it a tropical, fruity, kush-like finish, a result of myrcene and farnescene terpenes that dominate this strain's aroma and flavour.",Best / Premium,Indica,Maple Kush,Quebec,,,Myrcene,23.0,Caryophyllene,18.0,Farnesene-2,17.0,"Limonene,Linalool,Trans Caryophyllene,Farnesene",3.5,g,1,3.5,3.5,16.6,24.3,12.6,1900,Glass,5.7,7.8,7.6,167,827763002085,20827763002089
CNB-01403173,0,LA Kush Cake 3 x 0.5g Pre-Rolls,659,Pre-Roll,Pre-Rolls,240,300,mg/g,0,10,mg/g,12,FALSE,FALSE,$197.28,$197.28,$16.44,$23.49, - , - ,Sundial Growers,Top Leaf,LA Kush Cake,"Both scrumptiously smooth and surprisingly strong, Top Leaf LA Kush Cake is proof that sometimes it is possible to have your cake and smoke it too. Treat yourself to a sweet vanilla scent and indulge in its minty flavour - this easy smoking indica really does take the cake.",Best / Premium,Indica,LA Kush Cake,Alberta,,,Limonene,25.7,Caryophyllene,23.7,Linalool,16.3,"Myrcene,Humulene",1.5,g,3,0.5,1.5,13.34,13.34,13.34,60,,13,2.2,0.01,2.2,827885008828,10827885008825
CNB-01701795,0,THC Blend House Bud 5 x 0.5 g Pre Rolls,141,Pre-Roll,Pre-Rolls,170,220,mg/g,0,10,mg/g,24,FALSE,FALSE,$240.24,$240.24,$10.01,$14.49, - , - ,AgMedica Bioscience,Five Founders,THC Blend House Bud,"Five Founders House Bud is created with the perfect combination of high-quality, indoor-grown whole flower cannabis. This is a blend of Blueberry Cross, DJ Short Blueberry Afghani and Afghan Kush.  Delivering a consistent mid to high level THC potency, these pre-rolls are machine rolled and sealed in an airtight container to lock in freshness. This product is also shipped with a moisture pack to assist with humidity control.",Good / Value,Blend,Blend,Ontario,Chatham-Kent,,Various,0.0,,,,,,2.5,g,5,0.5,2.5,10.16,30.48,10.16,50,PET,1.5,9.5,6.35,16,628250744880,10628250744887
CNB-01703818,0,Sour Tangie 5 x 0.5g Pre-Rolls,0,Pre-Roll,Pre-Rolls,160,220,mg/g,0,10,mg/g,12,FALSE,FALSE,$160.20,$160.20,$13.35,$19.49, - , - ,AgMedica Bioscience,Five Founders,Sour Tangie,"The sweet, tangerine-scented buds make Five Founder's Sour Tangie something special. Tasting of earth, diesel and citrus this is a modern classic and perfect for a long relaxing chill with friends.",Good / Value,Sativa,Sour Tangie,Ontario,S.W. Ontario,,Myrcene,23.0,Limonene,17.0,Caryophyllene,16.0,"Cederene (12%),Linalool,Bisabolol,humulene,alpha-pinene,beta-pinene,ocimene,fenchol,terpineol,nerolidol,valencene,terpinolene,eucalyptol,borneol,camphene",2.5,g,5,0.5,2.5,12.7,17.78,12.7,303,PET,1.5,9.5,6.35,18.5,842537000432,10842537000439
CNB-00102891,0,Jack Haze 3.5g Dried Flower,18,Dried Flower,Dried Flower,180,230,mg/g,0,10,mg/g,12,FALSE,FALSE,$233.88,$233.88,$19.49,$27.99, - , - ,Supreme,7ACRES,Jack Haze,"In tribute to cannabis activist Jack Herer's namesake strain, 7ACRES developed a sativa-dominant cultivar with a unique combination of sweet citrus, crisp pine and warm spice notes. 7ACRES Jack Haze is the result of a large genetic selection program with the goal of finding a novel sativa expression. This particular phenotype stands out among the rest as it possesses both the sweet haze notes characteristic of a haze cultivar, along with the distinct spice aroma which makes Jack Herer a favourite amongst the cannabis community.",Best / Premium,Sativa,Jack Haze,Ontario,Kincardine,,Terpineol,40.0,Myrcene,20.0,Other,20.0,"Ocimene,Caryophellene,Pinene",3.5,g,1,3.5,3.5,18.09,24.13,6.56,1400,Plastic,5.97,6.35,5.97,31.5,00827912000344,10827912000341
CNB-00101546,0,Sensi Star 2 x 0.5 g Pre-Rolls,0,Pre-Roll,Pre-Rolls,180,240,mg/g,0,1,mg/g,24,FALSE,FALSE,$156.00,$156.00,$6.50,$9.49, - , - ,Supreme,7ACRES,Sensi Star,"7ACRES Sensi Star is a specially selected cultivar that represents the aromatic and visual qualities that have made this one of the world's most decorated strains.  Originally bred by Dutch cannabis pioneers Paradise Seeds, Sensi Star's dense flower structure and pungent  aromas are enhanced by 7ACRES' artisanal curing process.",Better / Mainstream,Indica,Sensi Star,Ontario,,,Myrcene,50.0,Limonene,30.0,Trans Caryophyllene,20.0,,1,g,2,0.5,1.0,13.72,30.48,24.38,580,Plastic,13.3,2.2,2.2,2.08,827912000566,10827912000563
CNB-00101547,0,Jack Haze 2 x 0.5 g Pre-Rolls,0,Pre-Roll,Pre-Rolls,170,230,mg/g,0,1,mg/g,24,FALSE,FALSE,$156.00,$156.00,$6.50,$9.49, - , - ,Supreme,7ACRES,Jack Haze,"In tribute to cannabis activist Jack Herer's namesake strain, 7ACRES has developed a sativa-dominant cultivar with a unique combination of sharp lemon, crisp pine and warm spice notes. 7ACRES Jack Haze was a result of a large genetic selection program, with the goal of finding a novel sativa expression. This particular phenotype stood out among the rest, as it possessed both the sweet haze notes characteristic of a haze cultivar, along with the distinct spice aroma which has made Jack Herer a favourite amongst the cannabis community for years.",Better / Mainstream,Sativa,Jack Haze,Ontario,,,Trans-Nerolidol,45.0,Myrcene,35.0,Ocimene,20.0,,1,g,2,0.5,1.0,13.72,30.48,24.38,580,Plastic,13.3,2.2,2.2,2.08,827912000580,10827912000587
CNB-00102229,0,AAA Hybrid 14 g Dried Flower,1,Dried Flower,Dried Flower,150,200,mg/g,0,10,mg/g,12,FALSE,FALSE,$578.64,$578.64,$48.22,$68.99, - , - ,Supreme,Hiway,AAA Hybrid,"This half-ounce pack is filled with a frosty, sweet and earthy hybrid flower, hang dried and trimmed to perfection. It's fully-loaded with flavour and THC just like you remember.",Ultra Value,Hybrid,White Widow,Ontario,,,Myrcene,50.0,Terpinolene,25.0,Alpha Pinene,25.0,Limonene,14,g,1,14,14.0,15.24,22.86,15.24,700,PET,6.4,7.7,7.7,22.2,00827912000931,10827912000938
CNB-00103945,0,Papaya 2 x 0.5g Pre-Rolls,27,Pre-Roll,Pre-Rolls,180,240,mg/g,0,10,mg/g,24,FALSE,FALSE,$156.00,$156.00,$6.50,$9.49, - , - ,Supreme,7ACRES,Papaya Pre Rolls,"Papaya is an indica-dominant hybrid known for its highly pungent, sweet and fruity aromatic notes. A cross of Citral #3 and Ice #2, Papaya produces beautiful, light green buds, densely coated with milky white trichomes. Originally bred by Nirvana Seeds as their take on Mango, you can expect a complex aromatic profile of fresh papaya, mango, guava and citrus combined with hints of earthy spice.",Best / Premium,Indica,Papaya,Ontario,,,Myrcene,30.0,Caryophyllene,30.0,Limonene,30.0,Cedrene,1,g,2,0.5,1.0,13.72,30,24.38,500,PET,13.3,2.2,2.2,21.2,827912001235,10827912001232
CNB-00104084,0,Tweed XPRESS Citrus Soft Chews 5x5g,46,Edible,Soft Chews,10,10,mg,0,100,mg,12,FALSE,FALSE,$57.12,$57.12,$4.76,$7.99, - , - ,Supreme,Tweed XPRESS,Berry Citrus Blast Soft Chews,"Like a perfect smoothie, this soft chew blends together the sweetness of berries and citrus in a few quick bites. Tweed XPRESS Berry Citrus Blast is the edible that's oozing with natural flavour and fruit juiciness. Effects may be felt within 30 minutes of consumption (like all products containing THC, individual results may vary).",Better / Mainstream,Blend,Soft Chews,Ontario,,,Terpenes Removed,0.0,,,,,,25,g,5,5,1.67,12.7,15.2,12.7,1400,Polyethylene Terephthalate (PET),15.2,0,0.3,10,688083008429,10688083008426
CNB-00104085,0,Tweed XPRESS Tropical Rush Soft Chews 5x5g,7,Edible,Soft Chews,10,10,mg,0,100,mg,12,FALSE,FALSE,$57.12,$57.12,$4.76,$7.99, - , - ,Supreme,Tweed XPRESS,Tropical Rush Soft Chews,"Release a blast of tropical fruit flavours with Tweed XPRESS Tropical Rush, the soft chew edible that's gushing with natural flavour and fruit juiciness. Effects may be felt within 30 minutes of consumption (like all products containing THC, individual results may vary).",Better / Mainstream,Blend,Soft Chews,Ontario,,,Terpenes Removed,0.0,,,,,,25,g,5,5,1.67,12.7,15.2,12.7,1400,Polyethylene Terephthalate (PET),15.2,0,0.3,10,688083008412,10688083008419
CNB-00104086,0,Deep Space XPRESS Cola Soft Chew 1x5g,0,Edible,Soft Chews,10,10,mg,0,100,mg,12,FALSE,FALSE,$60.96,$60.96,$5.08,$8.49, - , - ,Supreme,Deep Space XPRESS,Deep Space Cola Soft Chews,"Blast off into a galaxy of cola flavour, with Deep Space XPRESS -- the potent soft chew edible that's bold in taste and THC strength. It may be small, but it's mighty and ready to go. Effects may be felt within 30 minutes of consumption (like all products containing THC, individual results may vary).",Best / Premium,Blend,Soft Chews,Ontario,,,Terpenes Removed,0.0,,,,,,5,g,1,5,0.33,12.7,15.2,12.7,1400,Polyethylene Terephthalate (PET),15.2,0,0.3,5,688083008436,10688083008433
CNB-00104087,0,Deep Space XPRESS Lemon Lime Soft Chew 1x5g,0,Edible,Soft Chews,10,10,mg,0,100,mg,12,FALSE,FALSE,$60.96,$60.96,$5.08,$8.49, - , - ,Supreme,Deep Space XPRESS,Deep Space Limon Splashdown Soft Chews,"Prepare for lemon-lime liftoff with Deep Space Limon Splashdown XPRESS, the potent soft chew edible that's bold in taste and THC strength. It may be small, but it's mighty and ready to go. Effects may be felt within 30 minutes of consumption (like all products containing THC, individual results may vary).",Best / Premium,Blend,Soft Chews,Ontario,,,Terpenes Removed,0.0,,,,,,5,g,1,5,0.33,12.7,15.2,12.7,1400,Polyethylene Terephthalate (PET),15.2,0,0.3,5,688083008443,10688083008440
CNB-00104623,0,Hiway Indica 2 x 1g Pre-Rolls,585,Pre-Roll,Pre-Rolls,120,180,mg/g,0,1,mg/g,24,FALSE,FALSE,$160.08,$160.08,$6.67,$9.49, - , - ,Supreme,Hiway,Indica,"Hiway's two-pack of 1g joints are indica-dominant and chosen from a variety of plants to always ensure you get a consistent THC range. Evenly rolled for a smooth burn, these pre-rolls are ready when you are.",Good / Value,Indica,Single Strain,Ontario,,,Myrcene,11.6,Limonene,6.2,Trans Caryophyllene,3.1,,2,g,2,1,2.0,22.86,30.48,13.72,600,Plastic,6.5,7.5,7.5,32.3,628242510677,10628242510674
CNB-00104624,0,Hiway Sativa 2 x 1g Pre-Rolls,695,Pre-Roll,Pre-Rolls,120,180,mg/g,0,1,mg/g,24,FALSE,FALSE,$160.08,$160.08,$6.67,$9.49, - , - ,Supreme,Hiway,Sativa,"Hiway's two-pack of 1g joints are sativa-dominant and chosen from a variety of plants to always ensure you get a consistent THC range. Evenly rolled for a smooth burn, these pre-rolls are ready when you are.
",Good / Value,Sativa,Single Strain,Ontario,,,Terpinolene,9.0,Myrcene,5.0,Ocimene,4.0,,2,g,2,1,2.0,22.86,30.48,13.72,600,Plastic,6.5,7.5,7.5,32.3,628242510660,10628242510667
CNB-00105570,0,7ACRES Platinum Kush Breath 3.5g Dried Flower,156,Dried Flower,Dried Flower,230,290,mg/g,0,20,mg/g,12,FALSE,FALSE,$233.88,$233.88,$19.49,$27.99, - , - ,Supreme,7ACRES,Platinum Kush Breath,7ACRES Platinum Kush Breath Dried Flower,Best / Premium,Hybrid,Platinum Kush Breath,Ontario,,,Terpineol,45.0,Caryophyllene,16.0,Myrcene,16.0,Ocimene,3.5,g,1,3.5,3.5,18.09,22.86,15.24,1.3,Plastic,6.35,5.97,5.97,0.03,827912001501,10827912001508
CNB-00305157,0,Monkey Butter 3.5g Dried Flower,662,Dried Flower,Dried Flower,200,260,mg/g,0,20,mg/g,12,FALSE,FALSE,$160.20,$160.20,$13.35,$19.49, - , - ,Aphria,Good Supply,Monkey Butter,"This stuff is bananas. Monkey Butter is on the loose and someone should call animal control, because this indica is a beast with high THC. No, really though it's nutty with earth and woodsy aromas thanks to the dominant terpenes of beta-caryophyllene, cedrene and humulene. So quit your monkeying around and indulge in these compact light green buds with amber pistils that shimmer with milky trichomes. Because this cross of Gorilla Glue  x Peanut Butter Breath means business. Monkey business.
",Better / Mainstream,Indica,Monkey Butter,Ontario,,,Beta Caryophyllene,27.0,Limonene,30.0,Alpha Cedrene,11.0,"Alpha Humulene,Linalool,beta Myrcene,Alpha Bisabolol,Valencene,Fenchol,Alpha Terpineol,Caryophyllene,Alpha-Humulene",3.5,g,1,3.5,3.5,22.86,30.48,23.66,501,OPP (Oriented Polypropylene) / VMPET (Metalized PET) /PE (Polyethylene),15.24,12.7,1.91,9.5,00694144013615,20694144013893
CNB-00306074,0,Monkey Butter 28g Dried Flower,271,Dried Flower,Dried Flower,200,260,mg/g,0,20,mg/g,6,FALSE,FALSE,$440.94,$440.94,$73.49,$104.99, - , - ,Aphria,Good Supply,Monkey Butter,"This stuff is bananas. Monkey Butter is on the loose and someone should call animal control, because this indica is a beast with high THC. No, really though it's nutty with earth and woodsy aromas thanks to the dominant terpenes of beta-caryophyllene, cedrene and humulene. So quit your monkeying around and indulge in these compact light green buds with amber pistils that shimmer with milky trichomes. Because this cross of Gorilla Glue  x Peanut Butter Breath means business. Monkey business.
",Better / Mainstream,Indica,Monkey Butter,Ontario,,,Beta Caryophyllene,27.0,Limonene,30.0,Alpha Cedrene,11.0,"Alpha Humulene,Linalool,beta Myrcene,Alpha Bisabolol,Valencene,Fenchol,Alpha Terpineol,Caryophyllene,Alpha-Humulene",28,g,1,28,28.0,13.34,30,22.7,620.5,OPP (Oriented Polypropylene) / VMPET (Metalized PET) /PE (Polyethylene),20.32,22.86,7.62,43.75,694144014438,20694144014432
CNB-00305158,0,Sweet Berry Kush 3.5g Dried Flower,562,Dried Flower,Dried Flower,200,260,mg/g,0,10,mg/g,12,FALSE,FALSE,$160.20,$160.20,$13.35,$19.49, - , - ,Aphria,Good Supply,Sweet Berry Kush,"Ready to meet the very berry kush of your dreams. Good, because it's love at first sight with Sweet Berry Kush. Unveil the big berry and citrus sweet aromas underpinned with a slight diesel and earthiness of this fruity indica beauty. With a gorgeously dense, tight bud structure and more frosting than a wedding cake, you'll want it to be death till you part. Vibrant green buds speckled with burnt orange pistils, this kush boldly walks down the aisle with high THC and a dominant terpene profile of limonene, pinene, caryophyllene and ocimene. Borne from a cross between Banana OG x Purple Punch, this is one bouquet you'll never want to throw away. 
",Better / Mainstream,Indica,Sweet Berry Kush,Ontario,,,Limonene,24.0,Beta Caryophyllene,21.0,Alpha Pinene,13.0,"Alpha Cedrene,Beta Pinene,Beta Ocimene,alpha bisobolol,Fenchol,Alpha Terpineol,Alpha Humulene,alpha-Cedrene,beta-Pinene,Ocimene,alpha-Bisabolol,alpha-Terpineol,alpha-Humulene",3.5,g,1,3.5,3.5,22.86,30.48,23.66,501,OPP (Oriented Polypropylene) / VMPET (Metalized PET) /PE (Polyethylene),15.24,12.7,1.91,9.5,00694144013905,20694144013909
CNB-00306075,0,Sweet Berry Kush 28g Dried Flower,187,Dried Flower,Dried Flower,200,260,mg/g,0,10,mg/g,6,FALSE,FALSE,$440.94,$440.94,$73.49,$104.99, - , - ,Aphria,Good Supply,Sweet Berry Kush,"Ready to meet the very berry kush of your dreams. Good, because it's love at first sight with Sweet Berry Kush. Unveil the big berry and citrus sweet aromas underpinned with a slight diesel and earthiness of this fruity indica beauty. With a gorgeously dense, tight bud structure and more frosting than a wedding cake, you'll want it to be death till you part. Vibrant green buds speckled with burnt orange pistils, this kush boldly walks down the aisle with high THC and a dominant terpene profile of limonene, pinene, caryophyllene and ocimene. Borne from a cross between Banana OG x Purple Punch, this is one bouquet you'll never want to throw away. 
",Better / Mainstream,Indica,Sweet Berry Kush,Ontario,,,Limonene,24.0,Beta Caryophyllene,21.0,Alpha Pinene,13.0,"Alpha Cedrene,Beta Pinene,Beta Ocimene,alpha bisobolol,Fenchol,Alpha Terpineol,Alpha Humulene,alpha-Cedrene,beta-Pinene,Ocimene,alpha-Bisabolol,alpha-Terpineol,alpha-Humulene",28,g,1,28,28.0,13.34,30,22.7,620.5,OPP (Oriented Polypropylene) / VMPET (Metalized PET) /PE (Polyethylene),20.32,22.86,7.62,43.75,694144014131,20694144014135
CNB-00305430,0,Sherbet Cookies 28g Dried Flower,467,Dried Flower,Dried Flower,180,240,mg/g,0,20,mg/g,6,FALSE,FALSE,$440.94,$440.94,$73.49,$104.99, - , - ,Aphria,Good Supply,Sherbet Cookies,Sherbet Cookies Dried Flower,Good / Value,Sativa,Sherbet Cookies,Ontario,,,Beta Caryophyllene,36.63,Nerolidol,16.83,Alpha-Humulene,13.86,"beta-Myrcene,alpha-Bisabolol,Linalool,beta-Pinene,d-Limonene,alpha-Pinene,Caryophyllene oxide",28,g,1,28,28.0,13.34,30,22.7,620.5,OPP (Oriented Polypropylene) / VMPET (Metalized PET) /PE (Polyethylene),20.32,22.86,7.62,43.75,694144014087,20694144014081
CNB-00305804,0,Galaxy Walker OG 3.5g Dried Flower,84,Dried Flower,Dried Flower,200,250,mg/g,0,10,mg/g,24,FALSE,FALSE,$302.16,$302.16,$12.59,$17.99, - , - ,Aphria,Canaca,Galaxy Walker OG,"Canaca Galaxy Walker is a hybrid strain with a strong Citrus and earthy aroma with hints of diesel. Originating from a cross of skywalker and OG kush, these frosted green buds are loaded with ample trichome coverage.",Good / Value,Hybrid,Skywalker OG,Ontario,,,Caryophyllene,29.0,Cederene,20.0,Myrcene,9.0,,3.5,g,1,3.5,3.5,12.8,29.5,21.8,1330,,6.84,7.1,7.1,49,826966012570,30826966012571
CNB-00305805,0,Purps 3.5g Dried Flower,115,Dried Flower,Dried Flower,200,260,mg/g,0,10,mg/g,24,FALSE,FALSE,$302.16,$302.16,$12.59,$17.99, - , - ,Aphria,Canaca,Purps,"Canaca Purps is a hybrid strain with a strong floral flavour and hints of sweet fruit and pine. Originating from an unknown landrace and sharing genetic lineage with Mendocino Purps from Northern California, these frosted green buds have a mix of green hues with orange pistils and loaded with ample trichome coverage.",Good / Value,Hybrid,Mendocino Purps x Landrace,Ontario,,,Caryophyllene,29.0,Cederene,21.0,Alpha Bisabolol,8.0,,3.5,g,1,3.5,3.5,12.8,29.5,21.8,1330,Polypropylene,6.84,7.1,7.1,49,826966012419,30826966012410
CNB-00305806,0,Sour Diesel 3.5g Dried Flower,0,Dried Flower,Dried Flower,180,230,mg/g,0,10,mg/g,24,FALSE,FALSE,$302.16,$302.16,$12.59,$17.99, - , - ,Aphria,Canaca,Sour Diesel,"Canaca Sour Diesel is a sativa strain with a strong diesel and peppery aroma with hints of herbal. Originating from a cross of chemdawg and super skunk, these frosted green buds are loaded with ample trichome coverage. 
",Good / Value,Sativa,Sour Diesel,Ontario,,,Caryophyllene,36.0,Cederene,20.0,Humulene,11.0,,3.5,g,1,3.5,3.5,12.8,29.5,21.8,1330,Polypropylene,6.84,7.1,7.1,49,826966012433,30826966012434
CNB-00305809,0,Mango 7g Dried Flower,21,Dried Flower,Dried Flower,200,260,mg/g,0,10,mg/g,12,FALSE,FALSE,$327.60,$327.60,$27.30,$38.99, - , - ,Aphria,Canaca,Mango,"This classic strain that originated in the '60s was most recently crossed with KC33. Canaca Mango's flavour comes from a high terpene content of myrcene, also found in mangos.",Good / Value,Indica,Mango,Ontario,,,Limonene,36.4,Alpha/Beta Pinene,33.5,Caryophyllene,30.1,,7,g,1,7,7.0,18.1,24.45,16.67,953,,8.1,7.7,7.7,68.08,826966000553,20826966000557
CNB-00305942,0,Golden Goat 7 x 0.5g Pre-Rolls,246,Pre-Roll,Pre-Rolls,190,250,mg/g,0,10,mg/g,12,FALSE,FALSE,$209.88,$209.88,$17.49,$24.99, - , - ,Aphria,Good Supply,Golden Goat,Golden Goat Pre-Rolls,Good / Value,Sativa,Golden Goat,Ontario,Leamington,,Terpinolene,22.22,Caryophyllene,16.66,Alpha-Pinene,11.11,"beta-Pinene,Nerolidol,Myrcene,Humulene,Cymene,alpha-Bisabolol,Linalool",3.5,g,7,0.5,3.5,11.75,15.24,11.75,262.76,PP (Polypropylene),10.24,3.18,3.18,12.48,694144013943,20694144014074
CNB-00305943,0,Platinum Garlic 3 x 0.5g Pre-Rolls,293,Pre-Roll,Pre-Rolls,210,270,mg/g,0,10,mg/g,24,FALSE,FALSE,$335.76,$335.76,$13.99,$19.99, - , - ,Aphria,Broken Coast,Platinum Garlic,Platinum Garlic Pre-Rolls,Best / Premium,Hybrid,Platinum Garlic,British Columbia,Duncan,,Caryophyllene,47.66,D-Limonene,16.41,Linalool,17.19,"alpha-Bisabolol,alpha-Humulene",1.5,g,3,0.5,1.5,11.75,15.24,11.75,287.96,PET (Polyethylene Terephthalate),11.6,1.92,1.92,7.54,628242321266,20628242321260
CNB-00305944,0,Blue Cookies 7 x 0.5g Pre-Rolls,75,Pre-Roll,Pre-Rolls,220,280,mg/g,0,10,mg/g,12,FALSE,FALSE,$277.20,$277.20,$23.10,$32.99, - , - ,Aphria,RIFF,'26 Delta,Blue Cookies Pre-Rolls,Better / Mainstream,Indica,Blue Cookies,Ontario,Leamington,,Beta-Caryophyllene,30.28,Limonene,21.71,Linalool,10.29,"Farnesene,Beta-Myrcene,alpha-Humulene,Terpinolene,beta-Pinene,Fenchyl,alpha-Pinene",3.5,g,7,0.5,3.5,11.75,15.24,11.75,221,PP (Polypropylene),10.24,3.18,3.18,12.48,694144014476,20694144014470
CNB-00306066,0,Golden Goat (Small Buds) 28g Dried Flower,344,Dried Flower,Dried Flower,200,260,mg/g,0,10,mg/g,6,FALSE,FALSE,$398.94,$398.94,$66.49,$94.99, - , - ,Aphria,Good Supply,Golden Goat (Small Buds),Golden Goat (Small Buds) Dried Flower,Ultra Value,Sativa,Golden Goat,Ontario,Leamington,,Terpinolene,22.13,Beta Caryophyllene,16.52,Alpha Pinene,11.15,"beta-pinene,Nerolidol,Myrcene,Humulene,Cymene,alpha-Bisabolol,Linalool",28,g,1,28,28.0,22.86,30.48,23.66,680.39,OPP (Oriented Polypropylene) / VMPET (Metalized PET) /PE (Polyethylene),20.32,22.86,7.62,43.75,694144014391,20694144014395
