Type,SKU,Producer Type,Origin,Brand,Product Name,GTIN,Strain,Size (grams),THC %,CBD %,Terp %,Pack Date,Per Unit Cost,Qty/Case,Case Price,Cases Available,Quantity of Cases to Order,Total,,,INVEST  PER GRAM,,,,,,,,,
,HOM012876IN,,,Homestead,Bandwagon Indica,00688318000976,Indica,28.0,21.76%,<1%,1.84%,,$94.76,6,$568.56,0,, $-   ,,,$3.38,,,,,,,,,
,HOM012883SA,,,Homestead,Bandwagon Sativa,00688318000983,Sativa,28.0,17.56%,<1%,3.06%,3/15/2022,$94.76,6,$568.56,20,, $-   ,,,$3.38,,,,,,,,,
,LII010312OR,,,Liiv,Orange Monkey,00841464002212,Indica,3.5,20.70%,<1%,,10/29/2021,$15.68,18,$282.24,9,, $-   ,,,$4.48,,,,,,,,,
,LII010313RO,,,Liiv,Route 66,00841464002113,Indica,3.5,22.00%,<1%,,,$15.68,18,$282.24,0,, $-   ,,,$4.48,,,,,,,,,
,LII010344SO,,,Liiv,Something About Larry,00841464002144,Sativa,3.5,20.49%,<1%,,11/22/2021,$15.68,18,$282.24,0,, $-   ,,,$4.48,,,,,,,,,
,LII010735SO,,,Liiv,Something About Larry,0084146003035,Sativa,7.0,22.93%,<1%,,,$28.51,12,$342.12,0,, $-   ,,,$4.07,,,,,,,,,
,LOU010328EX,,,The Loud Plug,Exotic Gas,00836780000028,Indica,3.5,22.46%,<1%,,11/30/2021,$23.52,12,$282.24,19,, $-   ,,,$6.72,,,,,,,,,
,LOU010371SP,,,The Loud Plug,Space Queen,00836780000271,Indica,3.5,23.42%,<1%,,3/4/2022,$23.52,12,$282.24,10,, $-   ,,,$6.72,,,,,,,,,
,MTL010388CO,,,MTL Cannabis,Cookies N' Cream,00628176600888,Hybrid,3.5,23.60%,<1%,2.58%,3/28/2022,$17.96,12,$215.52,0,, $-   , ** Save $4.60/ unit,,$5.13,,,,,,,,,
,MTL010370SA,,,MTL Cannabis,Sage N' Sour,00628176600970,Hybrid,3.5,26.20%,<1%,,9/7/2022,$22.56,12,$270.72,28,, $-   ,,,$6.45,,,,,,,,,
,MTL011487SA,,,MTL Cannabis,Sage N' Sour,00628176600887,Hybrid,14.0,23.60%,<1%,4.04%,3/30/2022,$77.62,4,$310.48,16,, $-   ,,,$5.54,,,,,,,,,
,MTL010346ST,,,MTL Cannabis,Strawberry N' Mintz,00628518000246,Sativa,3.5,27.90%,<1%,,6/3/2022,$22.56,12,$270.72,27,, $-   ,,,$6.45,,,,,,,,,
,MTL01355430,,,MTL Cannabis,***NEW***. Wes Coast Kush,00628518000505,Hybrid,3.5,29.90%,<1%,,9/7/2022,$22.56,12,$270.72,32,, $-   ,,,$6.45,,,,,,,,,
,MUS012830CH,,,Muskoka Grown,Chem OG,00628504819630,Sativa,28.0,23.84%,<1%,,3/10/2022,$59.96,6,$359.76,1,, $-   ,,,$2.14,,,,,,,,,
1,MUS012807FU,,,Muskoka Grown,Funkfetti,00628504819807,Indica,28.0,25.04%,<1%,,8/16/2022,$76.16,6,$456.96,0,, $-   ,,,$2.72,,,,,,,,,
,MUS011410IN,,,Muskoka Grown,Indica Classic,00628504819173,Indica,14.0,21.33%,<1%,2.93%,,$31.81,12,$381.72,0,, $-   ,,,$2.27,,,,,,,,,
,MUS012810IN,,,Muskoka Grown,Indica Classic,00628504819227,Indica,28.0,20.90%,<1%,,,$59.33,6,$355.98,0,, $-   ,,,$2.12,,,,,,,,,
,MUS01402126,,,Muskoka Grown,***NEW*** Koko's Cookies,00628504819821,Hybrid,14.0,33.45%,<1%,2.15%,,$65.54,6,$393.24,0,, $-   ,,,$4.68,,,,,,,,,
,MUS011410SA,,,Muskoka Grown,Sativa Classic,00628504819661,Sativa,14.0,18.43%,<1%,1.72%,,$31.81,12,$381.72,0,, $-   ,,,$2.27,,,,,,,,,
,MUS012810SA,,,Muskoka Grown,Sativa Classic,00628504819678,Sativa,28.0,18.43%,<1%,,,$59.33,6,$355.98,0,, $-   ,,,$2.12,,,,,,,,,
,NAT010307CR,,,Natural History, Crescendo,00628250992007,Indica,3.5,23.50%,<1%,2%,1/7/2022,$23.99,12,$287.88,7,, $-   ,,,$6.85,,,,,,,,,
,NAT01357302,,,Natural History,***NEW***Garlicane,00872789001079,Hybrid,3.5,24.00%,<1%,4%,4/18/2022,$27.17,12,$326.04,18,, $-   ,,,$7.76,,,,,,,,,
,NAT010369LA,,,Natural History,LA Kush Cake,00628250992069,Hybrid,3.5,24.00%,<1%,2%,6/28/2022,$27.17,12,$326.04,9,, $-   ,,,$7.76,,,,,,,,,
